paper_id,title,year,doi,pdf_path,cluster_id
11009200.pdf,Leverage Sampling Methods and Deep Neural Networks for Fuzzer CAN Bus Message Detection,2025,,downloaded_pdfs/11009200.pdf,0
11223616.pdf,A Lightweight Detection Algorithm for Strawberry Ripeness,2025,,downloaded_pdfs/11223616.pdf,1
11303668.pdf,Multi-View Cross Attention for Guiding Surgical Planning in Rotator Cuff Repairs With Limited MRI Data,2025,,downloaded_pdfs/11303668.pdf,2
11208630.pdf,Data Extraction From Operating Room Equipment: An Engineering and Data Science Approach to General Anesthesia Monitoring,2025,,downloaded_pdfs/11208630.pdf,3
11043153.pdf,Improving the Accuracy of Indoor Object Localization in the Internet of Things Using Recurrent Neural Networks (LSTM) in,2025,,downloaded_pdfs/11043153.pdf,4
10937119.pdf,Early Detection via EEG Signals of Self-Initiated Reaching and Grasping Movements Performed With the Subject’s Selected Upper Extremity,2025,,downloaded_pdfs/10937119.pdf,5
11003084.pdf,Optimization of Heterogeneous Last-Mile Delivery of Fresh Products Considering Traffic Congestions and Other,2025,,downloaded_pdfs/11003084.pdf,6
11080001.pdf,Drone Detection Using YOLOv5 With GhostNet Backbone and Adaptive Fourier Neural Operator,2025,,downloaded_pdfs/11080001.pdf,7
11143208.pdf,Modeling and Classifying Parkinsonian Tremors With Nonlinear Dynamics and Kalman Optimization,2025,,downloaded_pdfs/11143208.pdf,8
11052247.pdf,Interpretable Learning Method Based on Causal Interactive Attention,2025,,downloaded_pdfs/11052247.pdf,9
11261665.pdf,Large Language Models Versus Static Code Analysis Tools: A Systematic Benchmark for Vulnerability Detection,2025,,downloaded_pdfs/11261665.pdf,10
11087227.pdf,A Method for Automatically Locating Defects in CCTV Inspection Data of Sewer Pipes,2025,,downloaded_pdfs/11087227.pdf,11
11000106.pdf,DeFiSentinel: AI-Enhanced Decentralized Finance Architecture With Advanced Cryptographic Smart Contracts for Data Integrity and Threat Resilience,2025,,downloaded_pdfs/11000106.pdf,12
11142872.pdf,XAI Driven Software Defect Prediction Using Adaptive Feature Engineering Coupled With Autoencoder and Multi-Layer Perceptron:,2025,,downloaded_pdfs/11142872.pdf,13
11195149.pdf,Enhanced Named Entity Recognition in Power Grid Operations: A Span-Based Approach for Chinese Dispatch Communications,2025,,downloaded_pdfs/11195149.pdf,14
11231402.pdf,Classification of Left Atrial Enlargement in Canine Radiographs Using Artificial Intelligence,2025,,downloaded_pdfs/11231402.pdf,15
11027081.pdf,A Resource-Efficient 3D U-Net for Hippocampus Segmentation Using CLAHE and SCE-3DWT Techniques,2025,,downloaded_pdfs/11027081.pdf,16
11002475.pdf,IP SafeGuard—An AI-Driven Malicious IP Detection Framework,2025,,downloaded_pdfs/11002475.pdf,17
11269807.pdf,Analysis of Maritime Loitering Patterns With Discrete AIS Sequences Using Transformer Model Reconstruction and Classification,2025,,downloaded_pdfs/11269807.pdf,18
11231322.pdf,Advancing Dynamic Flexible Job Shop Scheduling With a Real-World Dataset and Genetic Adaptive Scheduling System,2025,,downloaded_pdfs/11231322.pdf,19
11164289.pdf,Channel Sensing and Vision-Aided Distributed Beamforming for 6G Ultra-Dense Networks,2025,,downloaded_pdfs/11164289.pdf,20
11197504.pdf,"Secure and Resilient Cyberattack Detection in ICS Networks: Hybrid Encryption, Protocol Hardening, and Threat Hunting on ELECTRA",2025,,downloaded_pdfs/11197504.pdf,21
11263780.pdf,MDSNet: Localization for EV Charging Inlet With Deep Learning,2025,,downloaded_pdfs/11263780.pdf,22
10945309.pdf,Handling Sensor Faults in Hydroponics: A Deep Learning Imputation Technique for Accurate Tomato Yield Prediction,2025,,downloaded_pdfs/10945309.pdf,23
11052289.pdf,Enabling Eye Tracking for Crowd-Sourced Data Collection With Project Aria,2025,,downloaded_pdfs/11052289.pdf,24
A_High-Precision_Random_Forest-Based_Maximum_Lyapunov_Exponent_Prediction_Model_for_Spherical_Porous_Gas_Bearing_Systems.pdf,A High-Precision Random Forest–Based Maximum Lyapunov Exponent Prediction Model for Spherical,2020,,downloaded_pdfs/A_High-Precision_Random_Forest-Based_Maximum_Lyapunov_Exponent_Prediction_Model_for_Spherical_Porous_Gas_Bearing_Systems.pdf,25
11184816.pdf,BiTG4Rec: Bidirectional Transformer Graphs for Sequential-Social Recommendation,2025,,downloaded_pdfs/11184816.pdf,26
10978040.pdf,Self-Supervised Pretraining and Quantization for Fault Tolerant Neural Networks: Friend or Foe?,2025,,downloaded_pdfs/10978040.pdf,27
11175387.pdf,Dual-MAC: Hardware Acceleration of DNN Inferences With a Customized Lightweight Brain Floating-Point Format,2025,,downloaded_pdfs/11175387.pdf,28
10990145.pdf,AI Adoption for Collaboration: Factors Influencing Inclusive Learning Adoption in Higher Education,2025,,downloaded_pdfs/10990145.pdf,29
10965639.pdf,Multiscale Structural Information-Based Laplacian Generative Adversarial Network Representation Learning,2025,,downloaded_pdfs/10965639.pdf,30
11131186.pdf,Enhancing Nuclei Segmentation in Histopathology Images via Quantitative to Qualitative Transitions in Supervised and Weakly,2025,,downloaded_pdfs/11131186.pdf,31
11240103.pdf,EdgeAI-Powered Hybrid ESN-GRU Model for High-Accuracy and Efficient Short-Term Load Forecasting in Smart Grids,2025,,downloaded_pdfs/11240103.pdf,32
11059908.pdf,Performance Evaluation of Different Speech-Based Emotional Stress Level Detection Approaches,2025,,downloaded_pdfs/11059908.pdf,33
10985897.pdf,Detection of Driver Drowsiness Using Adaptive Eye Characteristic Ratio for Enhanced Road Safety,2025,,downloaded_pdfs/10985897.pdf,34
10937150.pdf,A Somatotype Classification Approach Based on Generative AI and Frontal Images of Individuals,2025,,downloaded_pdfs/10937150.pdf,35
11050370.pdf,Classifying Scam Calls Through Content Analysis With Dynamic Sparsity Top-k Attention Regularization,2025,,downloaded_pdfs/11050370.pdf,36
A_Novel_Hybrid_Kernel_Adaptive_Filtering_Algorithm_for_Nonlinear_Channel_Equalization.pdf,A Novel Hybrid Kernel Adaptive Filtering Algorithm for Nonlinear Channel Equalization,2019,,downloaded_pdfs/A_Novel_Hybrid_Kernel_Adaptive_Filtering_Algorithm_for_Nonlinear_Channel_Equalization.pdf,37
11008603.pdf,A Comprehensive Review of Blockchain and Machine Learning Integration for Peer-to-Peer Energy Trading in Smart Grids,2025,,downloaded_pdfs/11008603.pdf,38
11263858.pdf,SAM-Guided State Space Model Feature Enhance Network for Remote Sensing Segmentation,2025,,downloaded_pdfs/11263858.pdf,39
11152289.pdf,Creative Agents: Simulating the Systems Model of Creativity With Generative Agents,2025,,downloaded_pdfs/11152289.pdf,40
11119708.pdf,Robust and Privacy-Preserving Federated Learning Against Malicious Clients: A Bulyan-Based Adaptive Differential,2025,,downloaded_pdfs/11119708.pdf,41
Approximation_Algorithm_Based_Channel_Estimation_for_Massive_MIMO_Antenna_Array_Systems (1).pdf,Approximation Algorithm Based Channel Estimation for Massive MIMO Antenna Array Systems,2019,,downloaded_pdfs/Approximation_Algorithm_Based_Channel_Estimation_for_Massive_MIMO_Antenna_Array_Systems (1).pdf,42
11271653.pdf,LC-CCT: A Linear Complexity Compact Convolutional Transformer for Retinal Disease Detection in Optical Coherence Tomography,2025,,downloaded_pdfs/11271653.pdf,43
11029187.pdf,Attention-Enhanced CNN for High-Performance Deepfake Detection: A Multi-Dataset Study,2025,,downloaded_pdfs/11029187.pdf,44
Trainable_Projected_Gradient_Detector_for_Massive_Overloaded_MIMO_Channels_Data-Driven_Tuning_Approach.pdf,Trainable Projected Gradient Detector for Massive Overloaded MIMO Channels: Data-Driven Tuning Approach,2019,,downloaded_pdfs/Trainable_Projected_Gradient_Detector_for_Massive_Overloaded_MIMO_Channels_Data-Driven_Tuning_Approach.pdf,45
11263872.pdf,Drone Flight Dataset and Lightweight LSTM-Based Wind Estimation for Semi-Autonomous Quadcopter Control,2025,,downloaded_pdfs/11263872.pdf,46
11086534.pdf,Reinforcement Learning-Driven Secrecy Energy Efficiency Maximization in RIS-Enabled Communication Systems,2025,,downloaded_pdfs/11086534.pdf,47
11126023.pdf,Machine Learning for Early Detection of Phishing URLs in Parked Domains: An Approach Applied to a Financial Institution,2025,,downloaded_pdfs/11126023.pdf,48
11095684.pdf,Robust Prediction of Wildfire Spread in Australia,2025,,downloaded_pdfs/11095684.pdf,49
11088074.pdf,Research on Natural Language Misleading Content Detection Method Based on Attention Mechanism,2025,,downloaded_pdfs/11088074.pdf,50
A_Reinforcement_Learning_Model_Based_on_Temporal_Difference_Algorithm.pdf,A Reinforcement Learning Model Based on Temporal Difference Algorithm,2019,,downloaded_pdfs/A_Reinforcement_Learning_Model_Based_on_Temporal_Difference_Algorithm.pdf,51
11216340.pdf,A Correlation-Aware Feature Selection and Explainable AI Framework for Avian Influenza Outbreak Prediction,2025,,downloaded_pdfs/11216340.pdf,52
11299852.pdf,Adaptive 5G Network Slicing With Real-Time Traffic Classification and Experimental Validation,2025,,downloaded_pdfs/11299852.pdf,53
11095660.pdf,FedChallenger: A Robust Challenge-Response and Aggregation Strategy to Defend Poisoning Attacks in Federated Learning,2025,,downloaded_pdfs/11095660.pdf,54
11048579.pdf,Broken Bags: Disrupting Service Through the Contamination of Large Language Models With Misinformation,2025,,downloaded_pdfs/11048579.pdf,55
An_FRTDS_Real-Time_Simulation_Optimized_Task_Scheduling_Algorithm_Based_on_Reinforcement_Learning.pdf,An FRTDS Real-Time Simulation Optimized Task Scheduling Algorithm Based on Reinforcement Learning,2020,,downloaded_pdfs/An_FRTDS_Real-Time_Simulation_Optimized_Task_Scheduling_Algorithm_Based_on_Reinforcement_Learning.pdf,56
11142663.pdf,MOCQA: A Multi-Core Optimizer for Constrained Quadratic Assignment,2025,,downloaded_pdfs/11142663.pdf,57
11172285.pdf,Deepfake Audio Detection: A Comparative Study of Advanced Deep Learning Models,2025,,downloaded_pdfs/11172285.pdf,58
11269827.pdf,Lightweight Intelligent Detection System for Personal Protective Equipment in Laboratories of Higher Education Institutions,2025,,downloaded_pdfs/11269827.pdf,59
Machine_Learning-Based_Cellular_Traffic_Prediction_Using_Data_Reduction_Techniques.pdf,Machine Learning-Based Cellular Traffic Prediction Using Data Reduction Techniques,2024,,downloaded_pdfs/Machine_Learning-Based_Cellular_Traffic_Prediction_Using_Data_Reduction_Techniques.pdf,60
11249804.pdf,An Improved CNN for Automatic Localization of Pure Orbital Blowout Fractures in CT Images,2025,,downloaded_pdfs/11249804.pdf,61
11006723.pdf,Beyond Precision and Recall: Measuring Search Engine Consistency Using Rank Stability,2025,,downloaded_pdfs/11006723.pdf,62
11075662.pdf,Recognition of Handwritten Characters in Birch-Bark Manuscripts via Object Detection,2025,,downloaded_pdfs/11075662.pdf,63
11129105.pdf,WU-Net: An Automatic and Lightweight Deep Learning Method for Water Body Extraction of Multispectral Remote Sensing Images,2025,,downloaded_pdfs/11129105.pdf,64
10988613.pdf,"Dialogue-to-Video Retrieval via Multi-Grained Attention Network 1,2, (Senior Member, IEEE), JIWEI ZHANG",2025,,downloaded_pdfs/10988613.pdf,65
11215776.pdf,"Conditional Diffusion Models: A Survey of Techniques, Applications, and Challenges",2025,,downloaded_pdfs/11215776.pdf,66
11165362.pdf,Toward Automated Quality Control: An End-to-End Image Processing and Machine Learning Pipeline for Bullet Case,2025,,downloaded_pdfs/11165362.pdf,67
11194186.pdf,Trust at the Edge: ABAC-Secured Federated Learning for Smart Home Access Control Using,2025,,downloaded_pdfs/11194186.pdf,68
11126082.pdf,A Systematic Literature Mapping of Machine Learning for Handover Optimization in Cellular Networks,2025,,downloaded_pdfs/11126082.pdf,69
11176058.pdf,A Multimodal Deep Learning Model for Cross-Project Issue Classification,2025,,downloaded_pdfs/11176058.pdf,70
11142322.pdf,Optimization Strategies for Triple-Phase-Shift Modulation in Dual-Active-Bridge Converters: A Comprehensive Review,2025,,downloaded_pdfs/11142322.pdf,71
10969782.pdf,EEMLCR: Energy-Efficient Machine Learning-Based Clustering and Routing for Wireless Sensor Networks,2025,,downloaded_pdfs/10969782.pdf,72
10993377.pdf,LLM in the Loop: A Framework for Contextualizing Counterfactual Segment Perturbations in Point Clouds,2025,,downloaded_pdfs/10993377.pdf,73
11145436.pdf,Fuzzy Fitness Distance Balance Gradient-Based Optimization Algorithm (fFDBGBO): An Application to Design and Performance,2025,,downloaded_pdfs/11145436.pdf,74
11037441.pdf,Novel Quanvolutional Neural Network-Based COVID-19 Diagnosis From Raman Spectroscopic Signals of Human Serum,2025,,downloaded_pdfs/11037441.pdf,75
11009189.pdf,"AI-Enhanced Threat Intelligence in Remote Patient Monitoring Systems: A Survey on Recent Advances, Challenges and Future Research",2025,,downloaded_pdfs/11009189.pdf,76
Demand_Response_Management_for_Industrial_Facilities_A_Deep_Reinforcement_Learning_Approach.pdf,Demand Response Management for Industrial Facilities: A Deep Reinforcement Learning Approach,2019,,downloaded_pdfs/Demand_Response_Management_for_Industrial_Facilities_A_Deep_Reinforcement_Learning_Approach.pdf,77
11216391.pdf,Feature-Based EEG Classification: A Comparative Study of EMD and EWT With EEGNet and Shallow FBCSP ConvNet,2025,,downloaded_pdfs/11216391.pdf,78
11005976.pdf,A New Hybrid PSO-HHO Wrapper Based Optimization for Feature Selection,2025,,downloaded_pdfs/11005976.pdf,79
11006644.pdf,Interpersonal Relationship Detection Using Multi-Head Graph Attention Networks With Multi-Feature Fusion,2025,,downloaded_pdfs/11006644.pdf,80
11088115.pdf,Data-Centric Fine-Tuning of Small Language Models for Automatic Extraction of Technical Requirements,2025,,downloaded_pdfs/11088115.pdf,81
Electromagnetic_Signal_Classification_Based_on_Deep_Sparse_Capsule_Networks.pdf,Electromagnetic Signal Classification Based on Deep Sparse Capsule Networks,2019,,downloaded_pdfs/Electromagnetic_Signal_Classification_Based_on_Deep_Sparse_Capsule_Networks.pdf,82
11121842.pdf,Deep Reinforcement Learning Agents With Collective Situational Awareness for Beyond Visual Range Air Combat,2025,,downloaded_pdfs/11121842.pdf,83
11028107.pdf,A Comprehensive Review of the Main Heavyweight and Lightweight SDLC for Big Data Analytics Systems (BDAS),2025,,downloaded_pdfs/11028107.pdf,84
10975014.pdf,Intent-Based Multi-Cloud Storage Management Powered by a Fine-Tuned Large Language Model,2025,,downloaded_pdfs/10975014.pdf,85
11052242.pdf,AEMS: Adaptive Ensemble GNNs for Multibehavior Stream Recommendation,2025,,downloaded_pdfs/11052242.pdf,86
10975059.pdf,"FedHSP: A Robust Federated Learning Framework Coherently Addressing Heterogeneity, Security, and Performance Challenges",2025,,downloaded_pdfs/10975059.pdf,87
11106480.pdf,Comprehensive Evaluation of Techniques for Intelligent Chatter Detection in Micro-Milling Processes,2025,,downloaded_pdfs/11106480.pdf,88
11145026.pdf,Utilizing rPPG Signal Synchronization and Deep Learning Techniques for Deepfake Video Detection,2025,,downloaded_pdfs/11145026.pdf,89
11006039.pdf,"Edge Intelligence in Enhancing Last-Mile Delivery Logistics Research, Development and Innovation Center of the Military Academy (CINAMIL), Portuguese Military Academy, 1169-203 Lisbon, Portugal",2025,,downloaded_pdfs/11006039.pdf,90
10988545.pdf,Compressing Neural Networks on Limited Computing Resources,2025,,downloaded_pdfs/10988545.pdf,91
10981787.pdf,Reinforcement Learning-Driven Hunter-Prey Algorithm Applied to 3D Underwater Sensor Network Coverage Optimization,2025,,downloaded_pdfs/10981787.pdf,92
11068947.pdf,H-ConvLSTM to Estimate Reference Evapotranspiration From Air Temperature and Relative Humidity,2025,,downloaded_pdfs/11068947.pdf,93
11164907.pdf,DBP-YOLO: A Dynamic Bifurcated-Path Fusion Network for Weld Seam Defect Detection,2025,,downloaded_pdfs/11164907.pdf,94
11072348.pdf,LegalMind: Agentic AI-Driven Process Optimization and Cost Reduction in Legal Services Using DeepSeek,2025,,downloaded_pdfs/11072348.pdf,95
11123799.pdf,Hierarchical Reinforcement Learning for Navigation Among Movable and Immovable Obstacles,2025,,downloaded_pdfs/11123799.pdf,96
11000112.pdf,Key Factors Influencing Preservice Chinese Teachers’ Willingness for Implementing AI Applications in Higher Education,2025,,downloaded_pdfs/11000112.pdf,97
11206340.pdf,A Systematic Literature Review on Few-Shot Image Classification,2025,,downloaded_pdfs/11206340.pdf,98
11215722.pdf,Sentiment Analysis of YouTube Educational Videos: Correlation Between Educators’ and Students’ Sentiments,2025,,downloaded_pdfs/11215722.pdf,99
11021592.pdf,Adjusting Xception Neural Network by Improved Human Evolutionary Optimizer for Fine Art,2025,,downloaded_pdfs/11021592.pdf,100
10945320.pdf,Generating Automatically Print/Scan Textures for Morphing Attack Detection Applications,2025,,downloaded_pdfs/10945320.pdf,101
11068995.pdf,Unpacking Youth Privacy Management in AI Systems: A Privacy Calculus Model Analysis,2025,,downloaded_pdfs/11068995.pdf,102
GPU_Accelerated_Polar_Harmonic_Transforms_for_Feature_Extraction_in_ITS_Applications.pdf,GPU Accelerated Polar Harmonic Transforms for Feature Extraction in ITS Applications,2020,,downloaded_pdfs/GPU_Accelerated_Polar_Harmonic_Transforms_for_Feature_Extraction_in_ITS_Applications.pdf,103
11078242.pdf,A Novel Picture Fuzzy Similarity Measure: Theory and Practical Applications,2025,,downloaded_pdfs/11078242.pdf,104
Artificial_Intelligence-Empowered_Path_Selection_A_Survey_of_Ant_Colony_Optimization_for_Static_and_Mobile_Sensor_Networks.pdf,Artificial Intelligence-Empowered Path Selection: A Survey of Ant Colony Optimization for Static and Mobile Sensor Networks,2020,,downloaded_pdfs/Artificial_Intelligence-Empowered_Path_Selection_A_Survey_of_Ant_Colony_Optimization_for_Static_and_Mobile_Sensor_Networks.pdf,105
11145787.pdf,Analysis of Ansätze Expressibility and Complexity and Their Impact on Classification Accuracy Using QNN and QLSTM,2025,,downloaded_pdfs/11145787.pdf,106
10960445.pdf,CLS-3D: Content-Wise LiDAR-Camera Fusion and Slot Reweighting Transformer for 3D Object Detection in Autonomous Vehicles,2025,,downloaded_pdfs/10960445.pdf,107
11091314.pdf,Domain Generalization and Domain Adaptation Approaches for Face Anti-Spoofing: A Survey,2025,,downloaded_pdfs/11091314.pdf,108
11195089.pdf,A Comprehensive Survey of Path Planning Algorithms for Autonomous Systems and Mobile Robots: Traditional and Modern Approaches,2025,,downloaded_pdfs/11195089.pdf,109
10973062.pdf,fProcessor: NonIntrusive and On-the-Fly File Data Preprocessing Using eBPF,2025,,downloaded_pdfs/10973062.pdf,110
11145066.pdf,Improving Software Fault Prediction With a Hybrid DE-WOA Optimizer and ANFIS-Enhanced Ensemble Learning,2025,,downloaded_pdfs/11145066.pdf,111
11271272.pdf,An In-Context LLM for PV-BESS Operations: Adaptive Day-Ahead Strategy Recommendation for Economic Optimization,2025,,downloaded_pdfs/11271272.pdf,112
11058929.pdf,Decentralized Voltage and Var Control of Active Distribution Network Based on Parameter-Sharing Deep,2025,,downloaded_pdfs/11058929.pdf,113
11126076.pdf,Deep Learning-Based Models for Paddy Disease Classification and Segmentation: An Experimental Review,2025,,downloaded_pdfs/11126076.pdf,114
10937120.pdf,Evaluating ORB and SIFT With Neural Network as Alternatives to CNN for Traffic Classification in SDN Environments,2025,,downloaded_pdfs/10937120.pdf,115
11096604.pdf,Refining Software Clustering: The Impact of Code Co-Changes on Architectural Reconstruction,2025,,downloaded_pdfs/11096604.pdf,116
11077138.pdf,Distinctive Contribution of Sound Spectral Features in Enhancing Vibration-Based Multi-Component Fault Classification Under,2025,,downloaded_pdfs/11077138.pdf,117
Fractional-Order_Modeling_and_Analysis_of_a_Three-Phase_Voltage_Source_PWM_Rectifier.pdf,Fractional-Order Modeling and Analysis of a Three-Phase Voltage Source PWM Rectifier,2019,,downloaded_pdfs/Fractional-Order_Modeling_and_Analysis_of_a_Three-Phase_Voltage_Source_PWM_Rectifier.pdf,118
11123437.pdf,Patient-Specific Digital Twins for Personalized Healthcare: A Hybrid AI and Simulation-Based,2025,,downloaded_pdfs/11123437.pdf,119
10966862.pdf,FML-Swin: An Improved Swin Transformer Segmentor for Remote Sensing Images,2025,,downloaded_pdfs/10966862.pdf,120
11017637.pdf,AirQuaNet: A Convolutional Neural Network Model With Multi-Scale Feature Learning and Attention Mechanisms for Air Quality-Based,2025,,downloaded_pdfs/11017637.pdf,121
11269812.pdf,A Real-Time Implementation and Validation of Federated Learning for Grid Services,2025,,downloaded_pdfs/11269812.pdf,122
